"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: sizeAndIndex"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.302796,0.003992,"ns/op","1 0"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.302248,0.004611,"ns/op","6 0"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.299675,0.004791,"ns/op","6 5"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.308888,0.006956,"ns/op","11 0"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.301277,0.003535,"ns/op","11 5"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.300426,0.003094,"ns/op","11 10"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.301387,0.002515,"ns/op","16 0"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.304609,0.005275,"ns/op","16 5"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.298971,0.003402,"ns/op","16 10"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.302746,0.005369,"ns/op","16 15"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.303780,0.004195,"ns/op","21 0"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.309071,0.006855,"ns/op","21 5"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.305058,0.005890,"ns/op","21 10"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.300222,0.002992,"ns/op","21 15"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.303375,0.005000,"ns/op","21 20"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.303624,0.006801,"ns/op","26 0"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.317166,0.007660,"ns/op","26 5"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.302866,0.002890,"ns/op","26 10"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.307574,0.006372,"ns/op","26 15"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.312211,0.008439,"ns/op","26 20"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.300770,0.004192,"ns/op","26 25"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.313411,0.008635,"ns/op","31 0"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.310805,0.007222,"ns/op","31 5"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.305519,0.006882,"ns/op","31 10"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.313372,0.009065,"ns/op","31 15"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.303700,0.005063,"ns/op","31 20"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.299757,0.002211,"ns/op","31 25"
"dotty.tools.benchmarks.tuples.Apply.baseline","avgt",1,20,0.298848,0.002455,"ns/op","31 30"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,3.706122,0.082386,"ns/op","1 0"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.206598,0.076812,"ns/op","6 0"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.027952,0.109764,"ns/op","6 5"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.628887,0.149810,"ns/op","11 0"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.322583,0.122501,"ns/op","11 5"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.260264,0.068996,"ns/op","11 10"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.502691,0.046695,"ns/op","16 0"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.225894,0.076483,"ns/op","16 5"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.491069,0.031204,"ns/op","16 10"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.179247,0.025271,"ns/op","16 15"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.577740,0.095874,"ns/op","21 0"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.340975,0.101002,"ns/op","21 5"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.549919,0.085750,"ns/op","21 10"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.220413,0.061036,"ns/op","21 15"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,3.903558,0.058349,"ns/op","21 20"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.202939,0.050177,"ns/op","26 0"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.200001,0.059330,"ns/op","26 5"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.198506,0.061250,"ns/op","26 10"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.205208,0.041869,"ns/op","26 15"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.198259,0.053616,"ns/op","26 20"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.257568,0.101048,"ns/op","26 25"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.225524,0.065781,"ns/op","31 0"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.204335,0.041007,"ns/op","31 5"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.254856,0.053846,"ns/op","31 10"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.204166,0.061426,"ns/op","31 15"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.253177,0.068150,"ns/op","31 20"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.418300,0.109917,"ns/op","31 25"
"dotty.tools.benchmarks.tuples.Apply.inlined","avgt",1,20,4.318239,0.108614,"ns/op","31 30"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,3.631052,0.067959,"ns/op","1 0"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.228909,0.104045,"ns/op","6 0"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,3.956169,0.085901,"ns/op","6 5"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.528560,0.067650,"ns/op","11 0"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.267749,0.121158,"ns/op","11 5"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.340369,0.094560,"ns/op","11 10"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.502422,0.058788,"ns/op","16 0"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.230764,0.054502,"ns/op","16 5"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.618353,0.103361,"ns/op","16 10"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.356611,0.120971,"ns/op","16 15"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.530590,0.053178,"ns/op","21 0"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.212605,0.053339,"ns/op","21 5"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.590118,0.083453,"ns/op","21 10"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.239007,0.107929,"ns/op","21 15"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,3.908145,0.050698,"ns/op","21 20"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.236628,0.071426,"ns/op","26 0"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.249880,0.081843,"ns/op","26 5"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.237230,0.077913,"ns/op","26 10"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.202678,0.051050,"ns/op","26 15"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.221350,0.087056,"ns/op","26 20"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.235956,0.078817,"ns/op","26 25"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.212674,0.056616,"ns/op","31 0"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.193940,0.058910,"ns/op","31 5"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.190698,0.044051,"ns/op","31 10"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.259565,0.117652,"ns/op","31 15"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.256121,0.073127,"ns/op","31 20"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.227038,0.062038,"ns/op","31 25"
"dotty.tools.benchmarks.tuples.Apply.normal","avgt",1,20,4.220077,0.072770,"ns/op","31 30"
