"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"dotty.tools.benchmarks.tuples.Cons.arrayCons","avgt",1,20,23.593074,0.559760,"ns/op",0
"dotty.tools.benchmarks.tuples.Cons.arrayCons","avgt",1,20,23.126002,0.348034,"ns/op",5
"dotty.tools.benchmarks.tuples.Cons.arrayCons","avgt",1,20,22.677165,0.459156,"ns/op",10
"dotty.tools.benchmarks.tuples.Cons.arrayCons","avgt",1,20,24.910038,0.479292,"ns/op",15
"dotty.tools.benchmarks.tuples.Cons.arrayCons","avgt",1,20,25.165248,0.504894,"ns/op",20
"dotty.tools.benchmarks.tuples.Cons.arrayCons","avgt",1,20,25.241252,0.416694,"ns/op",25
"dotty.tools.benchmarks.tuples.Cons.arrayCons","avgt",1,20,27.782659,0.559301,"ns/op",30
"dotty.tools.benchmarks.tuples.Cons.baseline","avgt",1,20,0.298321,0.006222,"ns/op",0
"dotty.tools.benchmarks.tuples.Cons.baseline","avgt",1,20,0.296025,0.000850,"ns/op",5
"dotty.tools.benchmarks.tuples.Cons.baseline","avgt",1,20,0.299156,0.008331,"ns/op",10
"dotty.tools.benchmarks.tuples.Cons.baseline","avgt",1,20,0.296062,0.001481,"ns/op",15
"dotty.tools.benchmarks.tuples.Cons.baseline","avgt",1,20,0.296046,0.001143,"ns/op",20
"dotty.tools.benchmarks.tuples.Cons.baseline","avgt",1,20,0.308926,0.017358,"ns/op",25
"dotty.tools.benchmarks.tuples.Cons.baseline","avgt",1,20,0.306508,0.007257,"ns/op",30
"dotty.tools.benchmarks.tuples.Cons.inlined","avgt",1,20,4.738640,0.191935,"ns/op",0
"dotty.tools.benchmarks.tuples.Cons.inlined","avgt",1,20,69.176006,6.155676,"ns/op",5
"dotty.tools.benchmarks.tuples.Cons.inlined","avgt",1,20,88.832151,1.937672,"ns/op",10
"dotty.tools.benchmarks.tuples.Cons.inlined","avgt",1,20,116.252318,2.425801,"ns/op",15
"dotty.tools.benchmarks.tuples.Cons.inlined","avgt",1,20,87.405409,1.581465,"ns/op",20
"dotty.tools.benchmarks.tuples.Cons.inlined","avgt",1,20,49.311543,1.774938,"ns/op",25
"dotty.tools.benchmarks.tuples.Cons.inlined","avgt",1,20,55.203256,0.955310,"ns/op",30
"dotty.tools.benchmarks.tuples.Cons.normal","avgt",1,20,4.739596,0.188809,"ns/op",0
"dotty.tools.benchmarks.tuples.Cons.normal","avgt",1,20,63.384731,1.026435,"ns/op",5
"dotty.tools.benchmarks.tuples.Cons.normal","avgt",1,20,90.589794,2.444226,"ns/op",10
"dotty.tools.benchmarks.tuples.Cons.normal","avgt",1,20,116.843488,2.254244,"ns/op",15
"dotty.tools.benchmarks.tuples.Cons.normal","avgt",1,20,86.216455,1.433045,"ns/op",20
"dotty.tools.benchmarks.tuples.Cons.normal","avgt",1,20,49.051014,1.077130,"ns/op",25
"dotty.tools.benchmarks.tuples.Cons.normal","avgt",1,20,55.671031,1.661106,"ns/op",30
